상품번호,제목,부제목,저자,출판사,출간일,판매가,정가,평점,리뷰수,판매지수
143753715,요즘 우아한 AI 개발,"머신러닝에서 GPT, LLM, 생성형 AI, MLOps까지, 배달의민족 실제 프로젝트로 엿보는 AI 활용 이야기",우아한형제들,골든래빗,2025년 04월,21600,24000,9.6,11,9726
168727208,올라마와 오픈소스 LLM을 활용한 AI 에이전트 개발 입문,로컬 LLM을 활용한 보안과 비용 걱정 없는 지능형 AI 에이전트 구축,서영배,위키북스,2026년 01월,25200,28000,0,0,1272
130156635,AI를 위한 필수 수학,"AI 시스템에 쓰이는 통계학, 선형 대수학, 미적분학",할라 넬슨,한빛미디어,2024년 08월,40500,45000,9.5,12,3585
164512812,도메인 주도 설계를 위한 함수형 프로그래밍,코틀린과 타입스크립트로 구현하는 실전 도메인 모델링,스콧 블라신,제이펍,2025년 11월,28800,32000,10.0,4,1791
69750539,C언어로 쉽게 풀어쓴 자료구조,,천인국,생능출판사,2019년 02월,29000,29000,9.5,39,9390
145612410,모두의 딥러닝,누구나 쉽게 이해하는 딥러닝,조태호,길벗,2025년 04월,26100,29000,10.0,13,3774
95343845,밑바닥부터 시작하는 딥러닝 3,파이썬으로 직접 구현하며 배우는 딥러닝 프레임워크,사이토 고키,한빛미디어,2020년 11월,34200,38000,9.7,31,3282
120241473,그림으로 이해하는 네트워크 구조와 기술,"네트워크, 쉽고 재미있게 시작하자!",나카오 신지,길벗,2023년 07월,19800,22000,9.6,17,3216
147871988,Do it! 플러터 앱 개발&출시하기,AI 시대에 통하는 ‘수익화 앱’을 만든다!,조준수,이지스퍼블리싱,2025년 07월,32400,36000,10.0,5,2562
141310358,교실에서 바로 쓰는 챗GPT 교사 활용법,프롬프트 활용법/생성형AI 활용 수업/개념기반 수업/평가 루브릭 만들기/학교 업무 활용/수업자료 만들기,유수근,앤써북,2025년 01월,17820,19800,9.9,22,9816
150009569,나만의 MCP 서버 만들기 with 커서 AI,"현직 AI Specialist에게 배우는 MCP! Cursor AI, Claude Desktop으로 MCP의 기본을 경험한다",서지영,길벗,2025년 07월,21600,24000,9.8,17,6048
149224228,모두의 인공지능 with 파이썬,"머신러닝, 딥러닝부터 생성형 AI까지 쉽게 배우는 인공지능 입문서!",이영호,길벗,2025년 07월,27000,30000,10.0,14,2940
166370769,처음 만나는 드론 인문학,미래를 여는 꿈·과학·예술의 비행체,조장현,초봄책방,2025년 11월,15750,17500,10.0,10,1455
77283734,클린 아키텍처,소프트웨어 구조와 설계의 원칙,로버트 C. 마틴,인사이트(insight),2019년 08월,26100,29000,9.7,43,5304
124832401,수학자와 함께하는 인공지능 수학 with 파이썬,,김종락,한빛아카데미,2024년 01월,32000,32000,10.0,4,3987
91219874,Do it! 자료구조와 함께 배우는 알고리즘 입문 : 파이썬 편,,시바타 보요,이지스퍼블리싱,2020년 07월,19800,22000,9.2,36,3426
140396422,Do it! 자바 프로그래밍 입문,,박은종,이지스퍼블리싱,2025년 01월,26100,29000,10.0,20,3150
139734696,혁펜하임의 Easy! 딥러닝,,혁펜하임,북엔드,2024년 11월,31500,35000,9.9,31,6270
154254878,"돈 되는 AI, 어디서부터 무엇을 어떻게 해야 할까","오라클, 딜로이트, 언스트앤영 출신의 빅데이터·AI 전문가가 알려 주는 AI AGENT 시대 기업이 살아남는 법",장동인,리코멘드,2025년 09월,22500,25000,10.0,6,4242
150011529,데이터 삽질 끝에 UX가 보였다,스타트업 전문 프로덕트 디자이너가 들려주는 현실 데이터 드리븐,이미진,한빛미디어,2025년 07월,23400,26000,9.8,24,3318
167744277,“좋아 보여”,LGTM을 넘어 건설적인 코드 리뷰로,에이드리엔 브라간자,제이펍,2025년 12월,27000,30000,0,0,858
135733019,규칙으로 배우는 임베디드 시스템: 회로 설계 및 PCB 설계 규칙,,장선웅,북랩,2024년 10월,27000,30000,0,0,2046
160131631,"챗GPT, 저는 이렇게 쓰고 있어요",일상부터 업무까지! 나의 고민을 해결해 주는 챗GPT 활용 팁북,최소영,길벗,2025년 11월,16920,18800,9.9,39,4878
135441079,규칙으로 배우는 임베디드 시스템: 기초 DSP와 제어 시스템,,장선웅,북랩,2024년 10월,25200,28000,0,0,1080
150027797,기업과 고객을 파괴하는 해킹과 사이버 보안의 모든 것,"취약점, 랜섬웨어, 악성코드 위협부터 디지털 포렌식, AI보안까지 안전한 사이버 공간을 위한 올바른 보안 지식",유진 스파포드,책만,2025년 08월,29700,33000,10.0,4,2238
